depth_group,lon,lat,Site,Habitat,depth,quad,amphimedon.chloros,beige.enc.flower,black.enc,black.enc.unk,black.vein,blue.green.enc.pores,brown.chondrilla,brown.enc,brown.enc.vein,Clatherina.sp.,crella.cyathophora,Diacarnus.erythraeanus,green.enc.fragmented,green.grey.spiny,grey.enc.net,grey.enc.shiny,grey.enc.smoothy,grey.enc.spongy,grey.finger,grey.spiny,grey.spirastrella,Haliclona.sp,Hemimycale.arabica,Hyrtios.erectus,Ircinia.echinata,Mycale.fistulifera,Negombata.magnifica,Niphates.rowi,orange.enc,orange.enc.1,orange.enc.conuli,orange.enc.oscu,orange.enc.vein,pink.enc,pink.enc.net,Pione.vastifica,purple.osclas,red.boring,Red.enc.flower,red.enc.oscula,red.enc.smooth,red.enc.vein,red.thlike,Rhabderemia.batatas,siphonochalina.siphonella,stylissa.carteri,suberutes.clavatus,theonella.swinhoei,verongid,white.enc.pores,white.enc.shiny,white.enc.smark,white.enc.spongy,white.enc.vein,white.gaintoscula,White.spiny,white.widevein,yellow.boring,yellow.enc.fragmented,yellow.enc.osculas,yellow.enc.tiger,yellow.enc.vein,yellow.gre.enc.thin
10,34.9174723,29.5018611,IUI,Shallow,10,10q10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,34.9174723,29.5018611,IUI,Shallow,10,10q11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,34.9174723,29.5018611,IUI,Shallow,10,10q12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,34.9174723,29.5018611,IUI,Shallow,10,10q13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,34.9174723,29.5018611,IUI,Shallow,10,10q14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,34.9174723,29.5018611,IUI,Shallow,10,10q15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,34.9174723,29.5018611,IUI,Shallow,10,10q16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,34.9174723,29.5018611,IUI,Shallow,10,10q17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,34.9174723,29.5018611,IUI,Shallow,10,10q18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,34.9174723,29.5018611,IUI,Shallow,10,10q19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
